# ID | judul | adegan | kategori | grammar | 核心 | 補充
C01|我吃完飯了，你呢？|Makan malam di meja makan asrama|2|203,108|餐桌 廚房 完 已 剛才 光 接著/接着 結束|
C02|房間又亂又髒！|Teman sekamar mengeluh kamar berantakan|2|136,163|亂 髒 書架 書桌 櫃子/櫃 家具/傢俱 沙發 趕快 衣架|
C03|請把碗洗了。|Pembagian tugas rumah tangga dengan teman sekamar|2|193,195|垃圾 洗衣機 弄1 乾1 破 裝|
C04|把沙發放在客廳吧。|Menata perabot di rumah baru|2|197,194|房 臥室 臥房 廳 院子/院 層 底下 座|
C05|你把鑰匙給我了嗎？|Titip kunci & barang kepada teman|2|196,198|鑰匙 鎖 信箱 零用錢 口袋|
C06|浴室裡放著毛巾和牙刷。|Membeli perlengkapan mandi|2|217,109|浴室 廁所 毛巾 牙刷 牙膏 肥皂 洗髮精 沐浴乳 衛生紙|
C07|我兩天沒睡覺了！|Bangun kesiangan & kurang tidur|2|153,206|鬧鐘 時鐘/鐘1 枕頭 夢 上床 出門 半夜 早點 夜 夜晚|週
C08|鄰居吵死了！|Mengeluhkan tetangga yang berisik|2|190,215|鄰居 吵 蚊子 不停 日子|
C09|鄉下沒有城市那麼方便。|Membandingkan hidup di desa & kota|2|123,182|鄉下 市區 城市/城 環境 生活 房屋 涼快 那樣 這樣|不同
C10|生活費越來越貴了。|Mengatur uang bulanan mahasiswa|2|129,128|生活費 越 日記 花2 一般 經常|加上 底
C11|出門別忘了帶傘！|Musim hujan di Taipei|2,13|164,241|傘 雨傘 雨衣 陰天 晴天 溼/濕 涼|
C12|我是在雅加達出生的，在台北長大。|Wawancara beasiswa: riwayat hidup|1|137,131|出生 長大 中學 國小 大學生 母語 大陸 年紀 住址 當時|時
C13|我外婆有好幾個孫子。|Menjelaskan silsilah keluarga besar|1|158,229|外公/外祖父 外婆/外祖母 孫子 孫女 姑姑/姑 姑媽 伯父 伯母 兄弟 其中|
C14|我姊姊快要結婚了！|Kabar pernikahan kakak|1|134,135|結婚 父母 父親 母親 老太太 帥 叫做 同班 子|口
C15|為了多一點零用錢，我去打工。|Kerja paruh waktu mahasiswa|3|147,146|打工 工人 商人 教書 目的|
C16|我今天必須加班。|Lembur & rapat di kantor|3|119,155|加班 開會 報告 要求 必須/須 不必 不用|
C17|我對爬山很有興趣。|Klub hobi: mendaki & fotografi|4|144,145|興趣 爬山 爬 散步 拍照 拍 步|
C18|這部電影有趣極了！|Membahas film, game & berita|4|189,154|電影院 無聊 有趣 遊戲 新聞 雜誌 極|
C19|我們先去參觀，再去逛夜市。|Rencana tur museum & jalan-jalan|4|133,132|參觀 畫家 舞 假日 假1 逛 訂|到處 同時
C20|搭捷運去比較快。|Naik MRT di Taipei|5|204,120|搭 捷運 地鐵 月台 出口 入口 座位 班次|直接
C21|我騎不了機車。|Belajar naik motor & aturan lalu lintas|5|184,185|機車 摩托車 自行車 停 停車場 公路 速度 交通 標準|
C22|我明天才出國。|Persiapan ke luar negeri: visa & koper|5|111,112|出國 簽證 行李 箱子/箱 時差 留|
C23|票都賣完了，我們只好坐船。|Tiket habis, ganti rencana perjalanan|5|180,179|客滿 船 只好 不管 利用|
C24|要是颱風來了，就不去溫泉了。|Rencana ke pemandian air panas & prakiraan topan|5,13|121,122|颱風 溫泉 中心 地點 方向 春季 度|大概 方
C25|週末有派對，好不好？|Mengajak teman ke pesta|6|157,165|派對 約 約會 請客 禮物 最好|或者/或 空2
C26|媽媽讓我去陪奶奶。|Merawat keluarga yang sakit|6|113,114|陪 照顧 關心 關係 身邊|
C27|我傳簡訊給你了呢！|Berkirim pesan & kabar lewat ponsel|6,17|127,117|簡訊 傳 耳機 消息 開玩笑 談 禮貌 合作|留下
C28|我的藥被弟弟吃掉了！|Sakit flu di asrama|7|199,214|發燒 咳嗽 咳 鼻水 頭痛 流汗 汗 嚴重 流|
C29|這個藥應該飯後吃。|Membeli obat di apotek|7|166,167|藥房 藥局 正常 精神 臉色|
C30|多運動，身體才會好。|Olahraga untuk kesehatan|7|172,173|腿 眼 身高 動 低頭 背1 死 毛|
C31|你不是說八點上課嗎？我才出門，就遲到了！|Terlambat masuk kelas|8|227,205|遲到 回答/答 答案 題 題目 立刻 結果|
C32|寒假有時候回家，有時候去旅行。|Rencana libur semester|8|142,143|寒假 暑假 春假 學期 放假|
C33|從明年起，我就要畢業了。|Rencana setelah lulus kuliah|8|174,207|畢業 研究 成功 教授 教育 程度 得到 做到|
C34|漢字要多寫寫、看看。|Strategi menghafal Hanzi|8|148,152|漢字 書法 拼音 詞 背2 查 遍|
C35|老師叫我們討論這個題目。|Diskusi kelompok di kelas|8|115,116|討論 黑板 文法 作文 例子/例 改 例如|
C36|除了中文以外，我還學歷史。|Membicarakan mata kuliah|8|233,232|歷史 法律 華語 台語/臺語 知識 方面 現代 高級 正式 除了|
C37|三加五是八。|Pelajaran hitungan sederhana|8|238,239|乘 除 數 困難 認真 減|差1
C38|三分之一的學生每天運動。|Membaca hasil survei kelas|8|235,237|許多 一切 包括|當中
C39|台北的房租是雅加達的兩倍左右。|Membandingkan biaya hidup|9|236,234|倍 以上 以下 左右|
C40|打八折！一件比一件便宜。|Diskon besar di mal|9|181,192|打折 排隊 熱鬧 逛街|
C41|這件毛衣很適合你。|Membeli pakaian musim dingin|9|150,149|毛衣 上衣 睡衣 襪子 手套 皮鞋 拖鞋 合適 適合 金色|看起來 套
C42|你沒有零錢嗎？|Membayar dengan kartu & uang kecil|9|118,226|刷卡 刷 零錢 小費 店員|剛好
C43|老闆娘高高興興地做生意。|Pedagang di pasar tradisional|9|159,151|老闆娘/老板娘 生意 做生意 主人 籃子|
C44|這件太小了，可以換一換嗎？|Menukar barang yang salah ukuran|9|221,213|換 圓 流行 深 淺 鐘2|
C45|什麼都好吃，就是太鹹了。|Mencoba bento & masakan rumahan|10|187,201|便當 米 豆腐 醬 油 鹽|樣
C46|臺灣的水果，尤其是芒果，差不多都很甜。|Mencoba buah-buahan Taiwan|10|183,188|芒果 木瓜 鳳梨 草莓 葡萄 橘子 番茄 新鮮 顆 尤其|
C47|牛排做好了，我餓壞了！|Memasak bersama teman|10|202,191|做法/作法 洋蔥 熟 泡 豆/豆子 汁 牛排|正好
C48|你是不是訂位了？|Memesan tempat di restoran|10|156,162|訂位 位子 套餐 沙拉 海鮮 食物|
C49|我一點也不想吃速食。|Pola makan sehat vs makanan cepat saji|10|224,225|速食 泡麵 餅乾 巧克力 糖果 飲料 豆漿 聞 香味 從來|烏龍茶 
C50|只有在這裡才能辦居留證。|Mengurus izin tinggal|11|177,178|居留證 辦 服務 提 只要|
C51|我收到你的郵件了。|Menerima surat & menabung di bank|11|110,209|郵件 回信 信封 封 存 收|
C52|小偷被抓住了！|Kejadian pencurian di dekat asrama|12|210,211|偷 抓 丟 發生|
C53|颱風天出門會很危險的。|Peringatan keselamatan saat topan|12|218,223|危險 安全 保護 可怕|也許
C54|你看，天上有一顆一顆的星星！|Berkemah & melihat langit malam|13|222,139|星星 月亮 太陽 美麗 季節/季|朵 多麼
C55|垃圾不是紙，就是瓶子。|Memilah sampah & menjaga lingkungan|14|219,220|環保 污染/汙染 社會 自由 連|
C56|除夕的時候，誰先到誰就先吃！|Malam Tahun Baru Imlek|15|230,228|除夕 春節 節日 傳統 中式 聖誕老人 等/等等|東方
C57|別擔心，放心吧！|Menenangkan teman yang cemas|16|160,125|擔心 放心 害怕 急 煩|情形 原因
C58|沒想到你不但來了，而且還帶了禮物！|Kejutan ulang tahun|16|124,126|開心 沒想到 心情 感覺 輕鬆 不得了 而且/且 不但|哇
C59|那麼，你有什麼建議？|Meminta saran dari senior|16|161,176|建議 意見 看法 同意 選擇|同樣
C60|其實住宿舍有好處，也有壞處。|Menimbang tinggal di asrama atau di luar|16|200,130|好處 壞處 影響 可惜 了解/瞭解 還好 自然 其實|
C61|這本書我看不下去了。|Membicarakan buku bacaan yang membosankan|4|171,186|類 另外/另 相當|
C62|東西太多，我拿不動！|Belanja besar & barang mahal|9|212,208|帶來|
C63|啊，我想起來了！|Lupa & teringat janji|16|169,170|忘記 原來 等到|完全
C64|我們聊起了小時候的事。|Reuni teman sekelas SD|6|138,140|起|
C65|今天吃個夠！|Makan prasmanan sampai kenyang|10|141,216|滿|
C66|考試的時候可以查資料嗎？|Aturan ujian & kartu mahasiswa|8|168,175|讀書 校園 選 學生證 資料|
C67|一個小時以內送得到嗎？|Memesan layanan antar-makanan|10,17|231,240|內 整|正
